Name,Address,Category,# of Reviews,Cost
Giant Dipper Roller Coaster,"3190 Mission Blvd, San Diego, CA 92109-7726",Things to do,52,$$
The Promenade at Pacific Beach,"4110 Mission Blvd # 70, San Diego, CA 92109-5001",Things to do,49,$$
Bad Axe Throwing,"1019 Garnet Ave, San Diego, CA 92109-2834",Fun  Games,46,$$
Waterhorse Charters,"1617 Quivira Rd Suite B, San Diego, CA 92109",Boat Tours  Water Sports,45,$$
Mission Beach Surf school,"4050 Mission Blvd, San Diego, CA 92109-5043",Boat Tours  Water Sports,42,$$
Cruise San Diego,"1617 Quivira Rd, San Diego, CA 92109-7801",Boat Tours  Water Sports,40,$$
Ray's Rentals,"3221 Mission Blvd, San Diego, CA 92109-7728",Outdoor Activities,40,$$
THE LOT La Jolla,"7611 Fay Ave, La Jolla, San Diego, CA 92037-4836",Fun  Games,36,$
Cheap Rentals,"3689 Mission Blvd, San Diego, CA 92109-7369",Outdoor Activities,36,$$
Mike Hess Brewing,"3812 Grim Ave, San Diego, CA 92104-3602",Things to do,34,$$
Ocean Beach Municipal Pier,"1950 Abbott St, San Diego, CA 92107-2804",Things to do,34,FREE
"Mary, Star of the Sea Catholic Church","7669 Girard Ave, La Jolla, San Diego, CA 92037-4421",Things to do,33,$$
San Diego Scenic Tours,"2255 Garnet Ave Unit 3, San Diego, CA 92109-3774",Tours,32,$$
Aqua Adventures Kayaks & Paddleboards,"1548 Quivira Way, San Diego, CA 92109-8305",Boat Tours  Water Sports,31,$$
Gone Sailing Charters,"1441 Quivira Rd San Diego, CA 92109-7805",Boat Tours  Water Sports,31,$$
Lahaina,"710 Oliver Ave, San Diego, CA 92109-5017",Nightlife,31,$$
Marissa Dive Charters,"1010 Santa Clara Pl, San Diego, CA 92109-7227",Boat Tours  Water Sports,27,$$
Bare Back Grill Pacific Beach,"4640 Mission Blvd, San Diego, CA 92109-2732",Nightlife,27,$
Ocean Beach Surf School,"5022 Santa Monica Ave, San Diego, CA 92107-2814",Boat Tours  Water Sports,26,$$
Ship 'N a Bottle,"1500 Quivira Way Slip C141, San Diego, CA 92109-8303",Boat Tours  Water Sports,26,$$
Campland on the Bay,"2211 Pacific Beach Dr, San Diego, CA 92109-5699",Outdoor Activities,23,$$
Comedy Store La Jolla,"916 Pearl St, La Jolla, San Diego, CA 92037-5021",Nightlife,20,$
The Catamaran Spa,"3999 Mission Blvd, San Diego, CA 92109-6959",Spas  Wellness,20,$$
Hot Tub Cruisin,"1010 Santa Clara Pl Mission Bay Sport Center, San Diego, CA 92109-7227",Boat Tours  Water Sports,19,$$
Coaster Saloon Mission Beach California,"744 Ventura Pl, San Diego, CA 92109-7749",Nightlife,19,$
Rocky's Crown Pub,"3786 Ingraham St, San Diego, CA 92109-6764",Nightlife,19,$
City Running Tours San Diego,"1711 Thomas Ave, San Diego, CA 92109-4427",Outdoor Activities,19,$$
Action Sport Rentals,"3981 Mission Blvd, San Diego, CA 92109-6958",Boat Tours  Water Sports,18,$$
Cass Street Bar and Grill,"4612 Cass St, San Diego, CA 92109-2804",Nightlife,18,$
Mission Beach Pilates,"819 1/2 San Fernando Pl, San Diego, CA 92109",Spas  Wellness,18,$$
Xplore Offshore Day Tours,"2864 Palomino Cir, La Jolla, San Diego, CA 92037-7066",Boat Tours  Water Sports,17,$$
Just Kayak,"4090 Dawes St, San Diego, CA 92109",Boat Tours  Water Sports,17,$$
The Tavern at the Beach,"1200 Garnet Ave. at Everet Street Pacific Beach, San Diego, CA 92109-2912",Nightlife,17,$
House of Scuba,"5141 Santa Fe St Ste A, San Diego, CA 92109-1621",Boat Tours  Water Sports,16,$$
Barrel Republic,"1261 Garnet Ave Pacific Beach, San Diego, CA 92109-2913",Nightlife,16,$
La Jolla Water Sports,"2710 Garnet Ave Ste 110, La Jolla, San Diego, CA 92109-3849",Boat Tours  Water Sports,14,$$
SK Sanctuary Day Spa,"6919 La Jolla Blvd, La Jolla, San Diego, CA 92037-5427",Spas  Wellness,13,$$
La Jolla Bike Tour,"5666 La Jolla Blvd Suite 101A, La Jolla, San Diego, CA 92037-7322",Tours,12,$$
Tide Chaser Yacht Charters,"1406 Vacation Rd, San Diego, CA 92109-7905",Boat Tours  Water Sports,11,$$
Harvest International Market,"4220 Balboa Ave, San Diego, CA 92117-5508",Shopping,11,$$
Pacific Beach Bar and Grill,"860 Garnet Ave One block from the beach, San Diego, CA 92109-2726",Nightlife,10,$
Fanuel Beach Park,"4000 Fanuel St, San Diego, CA 92109",Things to do,10,FREE
SUP California,"4080 Dawes St, San Diego, CA 92109",Boat Tours  Water Sports,9,$$
Mission Bay Golf Course,"2702 N Mission Bay Dr, San Diego, CA 92109-6896",Outdoor Activities,9,$$$
Calumet Park,"5424 Calumet Rd, La Jolla, San Diego, CA 92037-7603",Things to do,9,$$
H2o Jetski Rental,"1617 Quivira Rd, San Diego, CA 92109-7801",Boat Tours  Water Sports,8,$$
Always Summer Surf School,"4904 Crystal Dr, San Diego, CA 92109-2062",Boat Tours  Water Sports,8,$$
Custom Bike Tours San Diego,"1277 Garnet Ave, San Diego, CA 92109-2913",Food  Drink,8,$$
Adventure Water Sports,"1710 W Mission Bay Dr Dana Hotel, San Diego, CA 92109-7810",Boat Tours  Water Sports,7,$$
Tiki Town Adventure Golf,"3114 Mission Blvd Belmont Park, San Diego, CA 92109-7726",Fun  Games,7,$$
Pedego Electric Bikes,"5702 La Jolla Blvd Suite 101A, La Jolla, San Diego, CA 92037-7322",Outdoor Activities,7,$$
Surf Monkey Bikes,"853 Grand Ave, San Diego, CA 92109-3907",Outdoor Activities,7,$$
Longevity Lounge,"4747 Mission Blvd Suite 7, San Diego, CA 92109-2541",Spas  Wellness,7,$$
Ark Antiques,"7620 Girard Ave, La Jolla, San Diego, CA 92037-4420",Things to do,7,$
Paddle Board Bliss,"1404 Vacation Rd, San Diego, CA 92109-7905",Boat Tours  Water Sports,6,$$
Mission Beach Rentals at Belmont,"3136 Mission Blvd Belmont Park, San Diego, CA 92109-7778",Boat Tours  Water Sports,6,$$
Typhoon Saloon,"1165 Garnet Ave, San Diego, CA 92109-2906",Nightlife,6,$
Ray's Rentals,"4655 Mission Blvd, San Diego, CA 92109-2735",Outdoor Activities,6,$$
Sur La Table,"7643 Girard Ave, La Jolla, San Diego, CA 92037-4443",Shopping,6,$$
Outdoor Fun San Diego Day Tours,"3612 Strandway, San Diego, CA 92109-7340",Tours,6,$$
MotoSurfCo.,"1804 Garnet Ave Suite 431, San Diego, CA 92109-3352",Boat Tours  Water Sports,5,$$
Dizzy's,"1717 Morena Blvd , San Diego, CA 92110-3635",Concerts  Shows,5,$$
Pacific Beach Bikes,"1852 Garnet Ave, San Diego, CA 92109-3363",Outdoor Activities,5,$$
Boardwalk Electric Rides,"4150 Mission Blvd, San Diego, CA 92109-5051",Outdoor Activities,5,$$
D.G. Wills Books,"7461 Girard Ave, La Jolla, San Diego, CA 92037-5143",Shopping,5,$
Lois Ann Dive Charters,"1717 Quivira Rd, San Diego, CA 92109-7811",Boat Tours  Water Sports,4,$$
Sun-Kissed Tours,"4966 Voltaire St, San Diego, CA 92107-2106",Food  Drink,4,$$
Beachcomber,"2901 Mission Boulevard San Diego, CA 92109, San Diego, CA 92109",Nightlife,4,$
The Silver Fox,"1833 Garnet Ave, San Diego, CA 92109-3353",Nightlife,4,$
Kiwi Spa Organic Facial Innovation,"1919 Grand Ave #1l, San Diego, CA 92109-4500",Spas  Wellness,4,$$
Top Dog Limo Bus,"1103 Emerald St, San Diego, CA 92109-2921",Transportation,4,$$$
Brothers Sport Fishing,"1908 Dana Landing Road, San Diego, CA 92109",Boat Tours  Water Sports,3,$$
San Diego Boat and Sailing Charters,"745 Isthmus Ct, San Diego, CA 92109-7785",Boat Tours  Water Sports,3,$$
Paskowitz Surf Camp,"2211 Pacific Beach Dr, San Diego, CA 92109-5626",Boat Tours  Water Sports,3,$$
Great News Cookware and Cooking School,"1788 Garnet Ave, San Diego, CA 92109-3350",Classes  Workshops,3,$$
Pacifi Beach Surf Shop,"4150 Mission Blvd Suite 161, San Diego, CA 92109-5051",Classes  Workshops,3,$$
Beach House Bikes & Rentals,"4629 Cass St Ste 202, San Diego, CA 92109-2805",Outdoor Activities,3,$
Rocket Fizz Soda Pop & Candy Shop,"1414 Garnet Ave, San Diego, CA 92109-3014",Shopping,3,$
Buffalo Exchange,"1007 Garnet Ave Pacific Beach, San Diego, CA 92109-2834",Shopping,3,$$
Spa Brezza,"1775 E Mission Bay Dr , San Diego, CA 92109-6801",Spas  Wellness,3,$$
Riffs Studios,"5510 La Jolla Blvd, La Jolla, San Diego, CA 92037",Spas  Wellness,3,$$
School of Healing Arts,"1001 Garnet Ave Ste 200, San Diego, CA 92109-2850",Spas  Wellness,3,$$
Happy Head Foot Reflexology and Massage,"953 Garnet Ave, San Diego, CA 92109-2729",Spas  Wellness,3,$$
Capehart Dog Park,"4754 Soledad Mtn Road, San Diego, CA 92109",Things to do,3,FREE
Tailwalker Sportfishing,"1441 Quivira Rd, San Diego, CA 92109-7805",Boat Tours  Water Sports,2,$$
PB Surf Shop,"4208 Oliver Ct, San Diego, CA 92109-3957",Boat Tours  Water Sports,2,$$
Bub's at the Beach,"1030 Garnet Ave, San Diego, CA 92109-2833",Nightlife,2,$
Johnny V San Diego,"945 Garnet Ave, San Diego, CA 92109-2729",Nightlife,2,$
Thrusters Lounge,"4633 Mission Blvd, San Diego, CA 92109-2733",Nightlife,2,$
San Diego Motorsports Rental,"4275 Mission Bay Dr, San Diego, CA 92109-5727",Outdoor Activities,2,$$$
Resort Watersports,"3981 Mission Blvd, San Diego, CA 92109-6958",Outdoor Activities,2,$$
Pacific Beach Bike Shop,"4305 Mission Blvd Ste 101, San Diego, CA 92109-3910",Outdoor Activities,2,$$
Wings Beachwear,"3136 Mission Blvd, San Diego, CA 92109-7778",Shopping,2,$
Le Vie Skincare,"7661 Girard Ave Suite 100, La Jolla, San Diego, CA 92037-4436",Spas  Wellness,2,$$
La Vie Day Spa,"7532 La Jolla Blvd, La Jolla, San Diego, CA 92037-4720",Spas  Wellness,2,$$
Therapie Day Spa,"4985 Voltaire St, San Diego, CA 92107-2105",Spas  Wellness,2,$$
Affordable Jet Ski Tours,"4255 Mission Bay Dr, San Diego, CA 92109-5782",Boat Tours  Water Sports,1,$$
Chubasco II Sportfishing,"1617 Quivira Rd, San Diego, CA 92109-7801",Boat Tours  Water Sports,1,$$
San Diego Jet Ski Rentals,"4365 Mission Bay Dr, San Diego, CA 92109-5782",Boat Tours  Water Sports,1,$$
Adventure Water Sports,"2211 Pacific Beach Dr, San Diego, CA 92109-5626",Boat Tours  Water Sports,1,$$
Mission Bay Stand Up Paddle,"732.5 Ormond Ct, San Diego, CA 92109-7328",Boat Tours  Water Sports,1,$$
City Ballet,"941 Garnet Ave, San Diego, CA 92109-2729",Concerts  Shows,1,$$
Sunshine Company Saloon,"5028 Newport Ave, San Diego, CA 92107-3010",Nightlife,1,$
The Turquoise Cafe Bar,"873 Turquoise St, San Diego, CA 92109-1127",Nightlife,1,$
PB Pub,"4471 Gresham St, San Diego, CA 92109-4226",Nightlife,1,$
The Dog,"4479 Everts St, San Diego, CA 92109-4208",Nightlife,1,$
Sinbad Cafe,"1050 Garnet Ave, San Diego, CA 92109-2833",Nightlife,1,$
Pacific Beach Bike Shop,"1277 Garnet Ave, San Diego, CA 92109-2913",Outdoor Activities,1,$$
La Jolla Swim and Sport,"1008 Torrey Pines Rd, La Jolla, San Diego, CA 92037-4416",Shopping,1,$$$
Pilar's Beach Wear,"3745 Mission Blvd, San Diego, CA 92109-7195",Shopping,1,$
Aly's Pilates,"7531 Girard Ave, La Jolla, San Diego, CA 92037-5196",Spas  Wellness,1,$$
Martine's Skin Care,"1819 Garnet Ave, San Diego, CA 92109-3353",Spas  Wellness,1,$$
Bitter Brothers Brewing Company,"4170 Morena Blvd, San Diego, CA 92117-5203",Things to do,1,$$
City Lights Collectables,"1212 Knoxville St, San Diego, CA 92110-3717",Things to do,1,$$
Bike the Beach,"3875 Sequoia St, San Diego, CA 92109-6521",Tours,1,$$
